text,Is this tweet spam?,Does the tweet describe a hazard (something that could impose harm or other costs on the author of the tweet or on others)?,"Does the tweet provide information on how to avoid, cope with, or overcome the hazard described?","On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real hazard in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the hazard can be adequately managed, where 0 = not at all, and 100 = extremely? - Author confidence","Does the tweet describe a benefit (something that provides resources, opportunities, or other good things to the author of the tweet or to others)?",Does the tweet provide information on how to obtain the benefit described?,"On a scale of 0-100, how much do you think that the author of the tweet is tweeting this information because they believe that it accurately describes a real benefit in the world, where 0 = the author does not believe that the information is accurate, and is instead sending it for some other reason (e.g., as a joke; to ridicule people who believe this sort of thing; etc.), and 100 = the author believes that the information is entirely accurate? - Author confidence","On a scale of 0-100, how confident is the author of the tweet that the benefit can be obtained, where 0 = not at all, and 100 = extremely? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to a person? - Author confidence","If the tweet describes a harm or benefit, on a scale of 0-100, how confidently does the author of the tweet attribute the harm/benefit to an event or circumstance? - Author confidence",What is your political orientation? - Political orientation,What is your gender?,What is your age?,Do you have children under 12?,AnnotatorID
$AVA Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/XD5FQq93si,Yes,No,,,,Yes,Yes,50,50,0,0,10,Woman,,No,230
"@JB_Drone @user1546923601 @Roblox_RTC you'd be surprised especially with some people not even being of age to make discord accounts he should be able to prevent this type of stuff from cropping up on the server, whether on his own or hiring competent moderators",No,No,,,,No,,,,,,10,Woman,,No,230
"@bonchieredstate There are some exceptions for RINOs, but if they attack Trump instead of going after the Democrats, then that's a deal-breaker. If you have an issue with Trump, then discuss it with him internally or keep it to yourself.",No,Yes,Yes,75,100,No,,,,100,100,10,Woman,,No,230
"@JohnFanimokun Are you talking about the ""power reforms"" that have resulted in this? 👇🏿 https--//t.co/bKQ21nUfr4 🤦🏿‍♂️",Yes,No,,,,No,,,,,,10,Woman,,No,230
@Gerashchenko_en We're starting a fundraiser for a Mavic 2 drone for our intelligence unit at the East. That drones are our military ''eyes''. They detect the enemy and transmit their coordinates to our artillery units. To donate please use link in the bio/Sergii's Paypal 2941980@gmail.com.,Yes,No,,,,Yes,No,100,100,100,100,10,Woman,,No,230
@MaxBoot The US has all the cards in this conflict,No,No,,,,No,,,,,,10,Woman,,No,230
Shouted the not anxiety. Choose to put yourself out of the https--//t.co/L9EdwNxkJV,No,No,,,,No,,,,,,10,Woman,,No,230
"Russian warplane crashes into Sea of Azov city, killing 2 https--//t.co/YhOmIn2FKW",No,Yes,No,100,50,No,,,,100,100,10,Woman,,No,230
@ChrisWillx Thanks for devastating my psyche again.,No,Yes,No,50,20,No,,,,100,0,10,Woman,,No,230
New Damage Control shirt has come out on WWE Shop! 🤍 • @ImKingKota @itsBayleyWWE @Iyo_SkyWWE https--//t.co/DQkoVVuyA3,Yes,No,,,,No,,,,,,10,Woman,,No,230
"A shocking attack on a pro-democracy protester who was dragged inside the Chinese consulate in Manchester and beaten, allegedly by consular staff, was a manifestation of China’s increasingly aggressive foreign policy  https--//t.co/ShmTfrze9L",No,No,,,,No,,,,,,45,Woman,26,No,231
"I am fire, I am death",No,No,,,,No,,,,,,45,Woman,26,No,231
@MitchellAdams90 @RollingStone Don’t think he would die from a heart attack though,Yes,No,,,,No,,,,,,45,Woman,26,No,231
@DanielAndrewsMP State is broke. Roads are a Dan disaster. 8 years of total neglect & won’t  be fixed in 4 weeks. Vote this dick Dan out. https--//t.co/tWBSVkjPJF,No,Yes,Yes,81,100,Yes,Yes,94,100,78,92,45,Woman,26,No,231
@drsiyabmd Dr Siyab (Pfizer’s henchman)  • Vaccines prevent long covid ❌ LIE https--//t.co/DjKlR0SRQZ  • Safe? 25% in cardiac arrests  https--//t.co/GKxejm3aaf  • “vaccination is better than natural immunity”DrSiyab FALSE https--//t.co/CslRZyPvAm  • Myocarsitis was a “conspiracy” -Siyab https--//t.co/nhZ8hKqIrU,Yes,Yes,No,37,30,No,,,,0,92,45,Woman,26,No,231
@YesScot “Escape the damage of Brexit.” and experience the fresh damage of Scexit which we now know will involve two currency transitions and likely see the loss of most of the financial sector in Scotland.,No,Yes,No,75,23,No,,,,29,76,45,Woman,26,No,231
@Chaos_515 @smcroasters *laughs in 36*,No,No,,,,No,,,,,,45,Woman,26,No,231
@marclamonthill There are 2 types of antisemitism 1 wants to see the Jewish people destroyed.  2 wants to harm Jewish individuals. You are  1 so please stop using 2  to sanitize  your antisemitism and thereby further it. You are not our ally. You are our enemy.,No,Yes,Yes,72,56,No,,,,93,16,45,Woman,26,No,231
"@MrBeast @CORPSE GOOD AFTERNOON DEAR JIMMY, Please I beg you @MrBeast 🙏SEE THIS TWEET PLEASE AND HELP ME PLEASE👉I AM REALLY IN DIFFICULT SITUATION NEEDS $2K TO PAY THE DEBTS. PLEASE  🙏 HELP ME 🙏 MY PAYPAL-- https--//t.co/2zurkqxzeB?…🙏 PLEASE HELP ME OUT!!!🙏 🙏 Thank You 🙏😭💔 PLEASE👏👏🙏",Yes,No,,,,No,,,,,,45,Woman,26,No,231
"#RingsofPower  A COMPLETE DISASTER, Rings of Power Season 1 OVERVIEW https--//t.co/v0XAxy09jS",No,No,,,,No,,,,,,45,Woman,26,No,231
"@aphroxide #Evin prison Iran's largest political prison and home to world-known Iranian political prisoners, are set on fire. All lives are in danger and shooting sound never stops. Probably a governmental plan to terror prisoners and widespread fear across country #مهسا_امینی  #EvinPrison",No,Yes,No,97,28,No,,,,10,70,0,Man,38,No,232
False comforts cannot soothe real anguish.,No,Yes,No,44,60,No,,,,3,51,0,Man,38,No,232
"@Kaktuzz77 @Hussain80794884 @nytimes No, no, Russia has an atomic bomb, it is dangerous😁",No,Yes,No,42,49,No,,,,2,30,0,Man,38,No,232
@SamRamani2 We're starting a fundraiser for a Mavic 2 drone for our intelligence unit at the East. That drones are our military ''eyes''. They detect the enemy and transmit their coordinates to our artillery units. To donate please use link in the bio/Sergii's Paypal 2941980@gmail.com.,Yes,Yes,Yes,0,50,Yes,Yes,10,35,6,58,0,Man,38,No,232
@jay56789012 Remember at the time someone done a tweet saying people were only trying to destroy his life cos he was black😂😂😄,No,No,,,,No,,,,,,0,Man,38,No,232
@laurenboebert But what about AOC’s three ✅’s. The people of Colorado’s 3rd notice you cannot dispute any of her contentions because they are all true. You do not deserve another chance to let us down!,No,Yes,No,78,63,No,,,,94,25,0,Man,38,No,232
"@tambriaga Hi, just checking if you're still with us? If you do not wish to continue this conversation anymore, we would go ahead and consider your concern as resolved. But please message us anytime if you have any more questions. Thank you!",No,No,,,,No,,,,,,0,Man,38,No,232
"@JavonAPrice Slow on the uptake, huh Javon? Historic occasion, professional cinematographer, at the wrong place at the wrong time, since hers and hundreds of others lives were endangered. Not that difficult. But you knew all that. Just acting dumb?",No,Yes,No,90,26,No,,,,100,4,0,Man,38,No,232
@CHRlStweet I'm here for the chaos,No,Yes,No,9,55,No,,,,8,43,0,Man,38,No,232
$xem Top analyst price target for next week..    https--//t.co/b3SoBoEQqv,Yes,No,,,,No,,,,,,0,Man,38,No,232
@gidi_147 @dr_folviv @u_uzey @JustBlaise001 Dangerous??? We’re you from rice box?,No,No,,,,No,,,,,,38,Man,35,Yes,233
Gut could sound early warning alarm for motor neuron disease https--//t.co/64eoIDx7DX{ https--//t.co/jbAjet7cJs,No,Yes,No,82,77,No,,,,71,71,38,Man,35,Yes,233
"@JohnHMcWhorter No apology needed, John. You merely called a spade a spade. Empty Suit Man @DrIbram is a disgrace to academia & is doing serious damage to race relations. You have every right to smack that nonsense down.",No,No,,,,No,,,,,,38,Man,35,Yes,233
"Steelers Monday Aftermath-- Patchwork D Stuffs Brady, Earns Major Upset #SteelersFootball #HereWeGo #SteelersNation #SteelersFamily https--//t.co/vIaoHS6mNO",No,No,,,,No,,,,,,38,Man,35,Yes,233
@MachineHeraId @GreyShadow512 @That_Hobbo @FroggerOW Well yes. Duh. They used the ability and it goes on cooldown so they can’t evade the enemy team infinitely. That tends to be part of the games design with abilities lol,No,No,,,,No,,,,,,38,Man,35,Yes,233
halsey is cute (i am aware it's a bit but idc it's still cute) https--//t.co/0kgbnCBMD7,No,No,,,,No,,,,,,38,Man,35,Yes,233
@Captaincoby00 You are aware Pierre is working for the same boss as Skippy!!,No,No,,,,No,,,,,,38,Man,35,Yes,233
@gimmeshelt first song-- probably satisfaction fav song-- idk the singer not the song fav album-- aftermath fav member-- brian any merch-- i have a shirt and this glimmer twins painting ahdhshdh seen live?-- nope --( fan?-- YESS https--//t.co/lUGEEtT3MD,No,No,,,,No,,,,,,38,Man,35,Yes,233
@channelstv Tackling insecurity by mingling with the same people that caused the insecurity? Like Gumi and Co.,No,No,,,,No,,,,,,38,Man,35,Yes,233
I am not afraid of an army of lions led by a sheep; I am afraid of an army of sheep led by a lion  Salmi  WE APPRECIATE MC STAN,No,No,,,,No,,,,,,38,Man,35,Yes,233
@KMutisi Great observation… it’s difficult to invade. Only hitler could sustain an invasion of this magnitude…. Blitzkrieg,No,No,,,,No,,,,,,54,Man,31,No,234
@Stray_Bull3t IS THIS CAUSING YOU TO LIKE FOAM FROM THE MOUTH 😭,No,No,,,,No,,,,,,54,Man,31,No,234
Calls are raining in group🎯  Dont miss out this cycle✔️  We going to moon🚀 ➡ https--//t.co/tEdSGx4WTu Grab your entries💸  $OMG $UNI $UMA $POLC $TLM $COTI $SKL $KEEP https--//t.co/3EwLYeD6gs,Yes,Yes,No,0,0,Yes,No,0,0,100,62,54,Man,31,No,234
@rayyinday @_SenjiMuramasa @raaziiel @SVueeee we fighting to the DEATH OR WHAT HUH? 😈😡,No,Yes,No,38,29,No,,,,31,38,54,Man,31,No,234
The most dangerous disease is a good memory---))) https--//t.co/Gwus1gdaX3,No,No,,,,No,,,,,,54,Man,31,No,234
i have a near death experience every day,No,No,,,,No,,,,,,54,Man,31,No,234
Boston University CREATES a new Covid strain that has an 80% kill rate echoing dangerous ... https--//t.co/gnGDvXTYyC via @MailOnline,No,Yes,No,38,32,No,,,,48,36,54,Man,31,No,234
"People have asked me what I see in this lagos.   I see hustle, chaos/madness, pollution, money and community. What about you?",No,No,,,,No,,,,,,54,Man,31,No,234
Jason Sudeikis allegedly threw himself under Olivia Wilde’s car amid split-- nanny https--//t.co/5sOF0RXvf5,No,Yes,No,59,66,No,,,,57,55,54,Man,31,No,234
Confusion. Anger. Disbelief.   Watch #Mammals 11 November only on @primevideouk,No,No,,,,No,,,,,,54,Man,31,No,234
"@TheGinjaNinja @StandUpForBarry That's true and the main reason I couldn't understand the referendum's outcome. If UK wants to rejoin one day I, as an EU citizen, would expect them to have no more opt-outs. Years of Brexit disaster talks were more than enough and kept the EU busy with nonsense.",No,No,,,,No,,,,,,15,Man,35,No,235
"@Thereseinpdx @JoyceWhiteVance Mental health crisis? That’s been brewing since the 70’s. Sounds more like an like an outbreak of sociopathy. If only there was a vaccine. Oh wait, they’d never take it.",No,No,,,,No,,,,,,15,Man,35,No,235
fuck candace owens how are you gonna manipulate and take advantage of a mentally ill person with no one to help him. literally robbed him and helped him destroy his legacy,No,No,,,,No,,,,,,15,Man,35,No,235
@olya_rudenko The world should destroy Putin and his terror state Russia! Stay strong!!! #FckPutin  #RussiaisATerroistState #PutinWarCriminal,No,Yes,No,98,32,No,,,,100,45,15,Man,35,No,235
The race is on to find what lies behind ancient yew trees’ mystery decline. Tree-ring research is underway to discover why some of the extraordinarily old and valuable yew trees growing within Newlands Corner on the North Downs have died. https--//t.co/hTdq0n7k8j https--//t.co/hndsVt07LE,No,No,,,,No,,,,,,15,Man,35,No,235
@DiamondandSilk How did the other guy do with a pandemic?  Oh yeah the country shut down because of his inability to deal with it.  Not to mention being left at by European leaders and trying to dismantle NATO.  And adding to national debt https--//t.co/CIG3G4padv,No,No,,,,No,,,,,,15,Man,35,No,235
Love is the most difficult thing in the world wsdfhgjsda  #推特刷粉  #推特粉丝 #推特买粉 https--//t.co/lJ0EMXP02a,Yes,No,,,,No,,,,,,15,Man,35,No,235
@tweetberry4 @syubjim Yoongi took the narrow and difficult path,No,No,,,,No,,,,,,15,Man,35,No,235
"She was burning him, slowly, until he died.",No,Yes,No,17,8,No,,,,71,21,15,Man,35,No,235
$oxt Top analyst price target for next week  🚀🚀🚀   https--//t.co/p19ZDX1VI0,Yes,No,,,,No,,,,,,15,Man,35,No,235
How the largest stocks performed this past week  https--//t.co/nDMgwRF6zP  $SHLL $GRWG $GLLU $DDOG $NVAX $NVDA $NTES $RVLV $FUTU $TNK $LYFT $PENN $MU $RVLV $CSCO $AMC $TSLA $PTON $DVAX $CGC https--//t.co/RRSouaw2K0,Yes,No,,,,No,,,,,,10,Woman,37,Yes,236
@yeomankirk yeah i was crunching some school work senior year. i think it was my english final (script filming and editing video essay) plus biology plus ehhhh can't remember but i was very stressed. and for me half of crunching is calming myself down from the erupting panic attack and my,No,No,,,,Yes,No,19,50,50,50,10,Woman,37,Yes,236
"@Tjmmmm60 Join my private discord to get all updates on every new promising market entries, while it's early including daily analysis https--//t.co/e0OmnjDd3o",No,No,,,,Yes,No,0,60,0,60,10,Woman,37,Yes,236
@flipkartsupport 125 BC what is closely following up . To schedule a technician is taking more than 8 days . Sucks!! Seems it is more difficult than rocket science.Don’t make fool .#flipkartscam #FlipkartChorHai   #flipkartscam #FlipkartChorHai  #flipkartscam #FlipkartChorHai  #flipkartscam,No,Yes,No,51,70,No,,,,100,80,10,Woman,37,Yes,236
@RoboDeathPunch @FlintDibble When we don't have a complete understanding of a history era how would you be able to build a historical accurate 3d immersive environment? A better use would be to create a digital double of the historical sites as they are now to increase access and reduce damage from visitors.,No,No,,,,Yes,Yes,80,100,9,100,10,Woman,37,Yes,236
"(🖌️other characters/art-- @/Chiptoon91, JaqlynWithAQ (discord i think), mrp1213 (deviantart), @/adusadunkadules, @/fish_and_doll) https--//t.co/DGO171OsMe",Yes,No,,,,No,,,,,,10,Woman,37,Yes,236
@sumanthraman Can understand about Harshal's point here but wtf is that Arshdeep reference?  Matlab ab usey bhi drop kardena chahiye? Aur khilaye phir kise death me venkatesh iyer ko?,No,No,,,,No,,,,,,10,Woman,37,Yes,236
@elonmusk @Nemli_mot Can’t be real in my universe. Must be a bot attack.,No,No,,,,No,,,,,,10,Woman,37,Yes,236
Photos taken moments before disaster https--//t.co/bCqZDRnjGI,No,Yes,No,70,0,No,,,,0,100,10,Woman,37,Yes,236
"@hcglobal22 Threat, survey, coffee, movement, climate, oil, recycling, company, influence, health, banking, conservation, conservancy, ranking,  sports, casino, enviroment, environmental, resource, charity, jail, tragic, death, company, experience, financial",No,No,,,,No,,,,,,10,Woman,37,Yes,236
@mikepompeo Trump got patents from China before he responded to COVID. He all but kissed Xi’s ass to get them then blamed them later for the spread throughout our country that killed 1million Americans.,No,No,,,,No,,,,,,26,Woman,40,No,237
“i just can't believe 5h vs little mix arguments used to actually exist. like there were wars. and people died.”  THE ENDING TOOK ME OUTJFJDJD https--//t.co/KW86BBkuwh,No,No,,,,No,,,,,,26,Woman,40,No,237
anxiety is hell. you know as a fact that nothing is wrong but you can't stop the pounding impulses and shakes and the guilt. oh the GUILT. fuck,No,Yes,No,82,45,No,,,,0,92,26,Woman,40,No,237
@milada_moore I know I can but if you have doubts you can always find out,No,No,,,,No,,,,,,26,Woman,40,No,237
"2/6 Gweres had just joined the crew not but a month earlier. He was a hard worker. Woke up early on some trips, right after pay-day, just to send half of his hard-earned A’s straight to his mother. Apparently ill, it was the only thing that kept her corporate health debt clear.",No,No,,,,No,,,,,,26,Woman,40,No,237
@MattGubba It isn't if you understand IR35. By definition it doesn't apply to single person businesses unless they're not really a business and are using it to avoid paying NI and Income tax.,No,No,,,,No,,,,,,26,Woman,40,No,237
"@nobodiesfloor @LisaLuchetti1 @of_caution @mmpadellan Damn. This is how you act on the internet from a simple difference of opinion? You must be a saint in real life as well. lmao Then you had to throw the classic ""fucking loser"" in at the end.",No,No,,,,No,,,,,,26,Woman,40,No,237
"@Ralph_Hapschatt In hindsight, probably should have. But it would mean having a second tank set up and causing more stress by moving them more than needed.  Suppose it can't be helped but it's bloody annoying",No,No,,,,No,,,,,,26,Woman,40,No,237
"Dark scenery. devil, and you're being afraid of https--//t.co/3QQwaiy09u",No,No,,,,No,,,,,,26,Woman,40,No,237
@monigarded The games couldn’t handle that level of chaos 😅,No,No,,,,No,,,,,,26,Woman,40,No,237
@Dwabaman_ZA @Gorba_G8 @kabelomolekwa6 these 2 think  their  Xbox tactics are the same in real football that's why they ba nale anger so🤣😂🤣😂🤣 https--//t.co/D6ML6ImPWq,No,No,,,,No,,,,,,20,Woman,44,No,238
hey come check out Discord with me https--//t.co/e5nMpjCxiG,Yes,No,,,,Yes,No,100,70,50,49,20,Woman,44,No,238
"In the absence of a more fundamental shift in China’s underlying ideological and strategic calculus, confrontation looms as the likeliest outcome in the 2030s, writes @MrKRudd  https--//t.co/oa8Ne95kTU",No,No,,,,No,,,,,,20,Woman,44,No,238
"So at the very least, just don't do what I did.""  Except he didn't want to talk about what he did. It was too shameful. It still is too shameful. Which meant if he was going to make anything easier for both Reggie and Newt in any capacity, it was something he'd have to confront.",No,No,,,,No,,,,,,20,Woman,44,No,238
"@averyweston @RAZ0RFIST Three is the only one I've played till finish And dare I say is the only decent one story wise , is a simple cold War thriller about undoin a fuck up your former mentor did to avoid nuclear armagedom and stopin a warmonger in a giant robot",No,No,,,,No,,,,,,20,Woman,44,No,238
90% of campus sexual assaults are committed by perpetrators that the survivor knows . Imagine this is your cousin. Visit https--//t.co/QCVoiDZcED for more information.,No,No,,,,No,,,,,,20,Woman,44,No,238
Are genuine Wolf in Death of https--//t.co/WVgA8sbKtg,Yes,No,,,,No,,,,,,20,Woman,44,No,238
"“This widening crisis in 🇪🇹 calls for a new approach to a national dialogue, with strong and steadfast support from the US and the IC” #TigrayUnderAttack  #StopWarOnTigray  @antonioguterres @JoeBiden @UNGeneva https--//t.co/WNtrXDpEB4",No,No,,,,No,,,,,,20,Woman,44,No,238
"@ugcbyfrankie Hey, thank you for reaching out <3 I can get you access to our private creator network on discord where we put out a tonne of brand deals daily ,  You can enroll using the form https--//t.co/8PAJDbmJ1x  lmk if you need any help --)",No,No,,,,No,,,,,,20,Woman,44,No,238
$TTD Everyone is Buying the Dip Right Now.Hoarding Shares--~ https--//t.co/6Zcay8h2VH,Yes,No,,,,Yes,Yes,100,100,50,50,20,Woman,44,No,238
"Fighting between Ethiopian federal forces and TPLF forces erupted again in late August, shattering a six-month humanitarian truce as the #TPLF forces reignited the conflict violating the humanitarian truce! #DisarmTPLF @USAmbUN @AFP @bpolitics @CNNAfrica @EU_Commission",No,Yes,No,94,36,No,,,,38,93,0,Woman,33,Yes,239
Can disease resistance evolve independently at different ages? Genetic variation in age-dependent resistance to disease in three wild plant species https--//t.co/iq2vT9qMvO,No,Yes,No,84,77,No,,,,23,30,0,Woman,33,Yes,239
Xi reaffirmed China’s commitment to gaining control over #Taiwan https--//t.co/OKvpfgPRBg,No,No,,,,No,,,,,,0,Woman,33,Yes,239
"@DavidSacks @theallinpod You were 100%. If you truly believe the war would have been averted by a statement like that you are mad, and starting off by making concessions would only have shown concessions were on offer. Also, just because people don't like you doesn't mean you're ""making a difference.""",No,No,,,,No,,,,,,0,Woman,33,Yes,239
Why does Jimmy Danger even have a show?,No,No,,,,No,,,,,,0,Woman,33,Yes,239
"@comicbookaholic @Kaleigh1103 @Abdulshiekh619 No, athena did nothing to him. Every time he beat death he clawed himself out of hades on his own",No,No,,,,No,,,,,,0,Woman,33,Yes,239
"My prediction of what Tory mess is coming next. Truss will resign due to ill health, they will install Sunak as PM as he came second in the contest. They will try to avoid a GE at all costs. We must keep the pressure up, they all have to go. #ToriesOut102 #GeneralElectionNow",No,No,,,,No,,,,,,0,Woman,33,Yes,239
@bokoromonio Death Test 💔😑but atleast I'm at 5,No,No,,,,No,,,,,,0,Woman,33,Yes,239
Quicker death? Sign me up https--//t.co/LkhcgKaOQe,No,No,,,,No,,,,,,0,Woman,33,Yes,239
@bcndp KNOWS THIS! I am convinced their plan is to keep people in the dark about “personal responsibility”.Under reporting is the goal!Public health isn’t much of a concern. More will die.More will get long covid.BonnieHenry will keep racking up fake awards.#BCNDPBanalityOfEvil https--//t.co/V3OFq7GkA1,No,Yes,No,46,16,No,,,,92,61,0,Woman,33,Yes,239
@LuluDeadly @SixFlags Did you ever find out what caused the lock down? When we finally left all we saw was the police giving someone a field sobriety test,No,Yes,Yes,59,59,Yes,Yes,57,40,62,52,66,Man,38,No,240
17-10-2022 18--53--32 https--//t.co/CSk40CIrxL #BlastIndieRadio 🔊 Ali Henderson Death Of Me,Yes,No,,,,No,,,,,,66,Man,38,No,240
@JoePorterUK @PennyMordaunt Lol. Tories are the coalition of chaos. What a mess.,Yes,No,,,,No,,,,,,66,Man,38,No,240
"LONDON BEER FLOOD 1814 OTD. A vat explodes at Horse Shoe Brewery. A 15 foot wave of fermenting porter roars down the street like well, greased lightning. Desolation. Houses flattened, 8 people died. Horse Shoe brewery is now site of Dominion Theatre where 'Grease' is playing. https--//t.co/xKBR39k6D4",No,Yes,Yes,60,66,No,,,,63,55,66,Man,38,No,240
The country is in crisis.  Millions of people have had mortgages down the drain and their private pensions nosedive.  This is the time for serious political debate as to how we get out of this mess not tit for tat mudslinging to score political brownie points. https--//t.co/PpbbfISI5e,Yes,No,,,,No,,,,,,66,Man,38,No,240
@john4brexit Groping again. I preferred your performance in Coronation Street more than your lunatic rants on here. Your Brexit is a bit of a disaster isn't it? #GeneralElectionNow,No,No,,,,No,,,,,,66,Man,38,No,240
"@hoski67 @SteveSayersOne Having waded through previous papers ,which were clearly works of Fantasy designed to pull the wool over the eyes of people who have NO knowledge of finance this is more of the same but DUMBED DOWN to avoid the nasty ( ie reality ) bits . I go with the synopsis  UTTER PISH",No,No,,,,No,,,,,,66,Man,38,No,240
@francis_scarr Probably a terrorist attack by ukraine,No,Yes,No,59,56,No,,,,38,39,66,Man,38,No,240
missing a relationship that literally gave us both brain damage as soon as i wake up each day check,No,No,,,,No,,,,,,66,Man,38,No,240
@thehill @TheHillOpinion The Hill-- Actively amplifying chaos agents and undermining Democracy.  The press is complicit in their ineptitude.,No,No,,,,No,,,,,,66,Man,38,No,240
"Riyadh is perplexed by accusations that the Kingdom is “standing with Russia,” Saudi Defense Minister Khalid bin Salman said on Saturday.",No,No,,,,No,,,,,,20,Man,34,No,241
@Earstohearyou Just hide/destroy everything that dosnt fit,No,No,,,,Yes,Yes,100,100,100,50,20,Man,34,No,241
📣 ONLINE COURSE 📣 Clinical diagnosis and management of dengue  🔹 This course is geared at helping healthcare workers in diagnosing and managing all aspects of dengue in order to avoid complications and fatalities.  Start today!  ➕ INFO--  https--//t.co/zzypLxum2G https--//t.co/qwyireR1tU,Yes,No,,,,Yes,Yes,100,100,100,0,20,Man,34,No,241
This world full of so many followers…Durk said “welcome to death row” now everybody in death row contracts w somebody …yal some lame ass unoriginal ass group of humans lmao,No,No,,,,No,,,,,,20,Man,34,No,241
"Yep, I imagine the reason Jennifer Hale even took the role is because, like us, she was lied to saying Hellena Taylor was ""unavailable"", and NDA prevents her from saying anything at all. I think it would've been a different story if she was aware they lowballed Taylor. https--//t.co/YuEF4kDoI9",No,No,,,,No,,,,,,20,Man,34,No,241
"Choosing to love, even when it is difficult, can provide unexpected opportunities for healing to begin. #prolife #abortion #conversations  https--//t.co/DWiXUGuD0G",Yes,No,,,,Yes,Yes,100,100,80,100,20,Man,34,No,241
Happy Monday Loves ! Every day is a New Chance to be Real ! Embrace who you really are at the core ✨️.  Ego death . https--//t.co/gDWUQOp9bI,Yes,No,,,,No,,,,,,20,Man,34,No,241
@SamErvin0 @globeandmail Woodside group is behind all these attacks they want people to watch movies in their shitty third grade dirty cinemas so they use cheap tactics to keep competition out,No,No,,,,No,,,,,,20,Man,34,No,241
Emergency Preparedness Session 3 is THIS Wednesday-- Disaster Mental Health Care Support for Health Center Personne https--//t.co/lKS1arpZgX https--//t.co/zRURQijnY9,No,No,,,,Yes,Yes,100,100,100,50,20,Man,34,No,241
"@NemanjaIv6 hello, is there a discord channel where I can see your crypto analysis?",No,No,,,,No,,,,,,20,Man,34,No,241
$dawn is set and ready for a run up https--//t.co/JWsimXIzeN,No,No,,,,No,,,,,,35,Man,35,Yes,242
"@JB_Drone @user1546923601 @Roblox_RTC you'd be surprised especially with some people not even being of age to make discord accounts he should be able to prevent this type of stuff from cropping up on the server, whether on his own or hiring competent moderators",No,No,,,,Yes,No,87,94,91,95,35,Man,35,Yes,242
Best leaks teen/discord leaks/snapchat leaks/Cheese Pizza leaks/baby ashlee leaks/ best discord server with preview https--//t.co/xOUz4vrRZF,No,No,,,,No,,,,,,35,Man,35,Yes,242
feeling like a star that has died long before it is seen in the sky,No,No,,,,No,,,,,,35,Man,35,Yes,242
"Biden border chief accused of falling asleep during meetings on migrant crisis, ‘disengaged’ with job-- report https--//t.co/XVsJn6MwcB #FoxNews Wow, so his officers get ripped by the admin why this loser sleeps. Nothing will ever change unless ALL CBPs quit. There are many more",No,No,,,,Yes,Yes,81,82,90,94,35,Man,35,Yes,242
@KociaPolka16 me but my bullies is dysphoria. just don't overwork yourself or you'll get opposite results to what you want. take off days and don't be afraid to cut back a little --],No,No,,,,No,,,,,,35,Man,35,Yes,242
"9/15 “🇪🇷’s re-entry into🇪🇹has made matters significantly worse, it needs to withdraw & respecs🇪🇹’s sovereignty-as should others who are fuelling the conflict,” @MikeHammerUSA said.  Dear @IntlCrimCourt @UN @NATO intervene to #EndTigrayGenocide https--//t.co/aLsfgCgQQp",No,No,,,,Yes,Yes,80,69,80,71,35,Man,35,Yes,242
"Russia Forces smash Zelensky's S-300 missile system, Ukraine bid to thwart attack fails | Details https--//t.co/y4jyHN5zYp",No,No,,,,No,,,,,,35,Man,35,Yes,242
$GLN Top Analyst Ratings and Price Targets for this week... https--//t.co/hlweMht3nJ,No,No,,,,No,,,,,,35,Man,35,Yes,242
@JaseRuggy Don't tell football fans in Cleveland.  They might go through an existential crisis.,No,No,,,,Yes,Yes,82,81,82,79,35,Man,35,Yes,242
"Giving me what I want, when I want it should be your only concern. Fuck your wife’s birthday gift, you love draining your wallet on me. I’m hotter anyways 😈  findom femdom paypigs",No,No,,,,Yes,Yes,86,77,88,87,73,Man,34,Yes,243
Joe Biden ‘was aware’ and potentially ‘involved’ in son Hunter’s crony business dealings-- Whistleblower https--//t.co/IninWKjK3x via @foxnews,No,No,,,,No,,,,,,73,Man,34,Yes,243
Why the hell is Boston University indulging in creating a more deadly strain of Covid? Why are they consumed with endeavor at all? Boston University CREATES new Covid strain that has an 80% kill rate https--//t.co/5h8mr01y42 via https--//t.co/tpge4X8A5F,No,No,,,,No,,,,,,73,Man,34,Yes,243
"@Massivetoe @charlhennessy1 @ManCity @LFC I've been consistent that Hillsborough is a tragedy.  But to lump in Heysel with this tragedy and be unwilling to call those Heysel assholes what they really are you're doing a disservice to the families of those that died there.  Fund that mirror, you truly need it you sick fool",No,No,,,,Yes,Yes,75,85,80,86,73,Man,34,Yes,243
"We call on the ENDF & EDF to immediately halt their joint military offensive and 🇪🇷 to withdraw  #EritreanTroopsOutOfTigray,"" @ICC @SecBlinken said in a statement. But Tigray demands beyond words [needs ACTION]. #TigrayUnderAttack  #StopWarOnTigray https--//t.co/rvsxJxBF3Q",No,No,,,,No,,,,,,73,Man,34,Yes,243
